ID,Authors,Title,Venue,Venue Type,Year,Source (query/snowballing),Origin Paper,Snowballing Direction: (F)oward or (B)ackwards,Read Title?,Read Abstract?,Read Whole?,Inclusion Criterion 1,Inclusion Criterion 2,Exclusion Criterion 1,Exclusion Criterion 2,Exclusion Criterion 3,Exclusion Criterion 4,Exclusion Criterion 5,Exclusion Criterion 6,Exclusion Criterion 7,Snowballing applied?,Notes
342,L. Davi et al.,Privilege escalation attacks on android,"Int’l Conf. on Information Security, Boca Raton, FL",,2010,S,166,B,o,,,,,,,,,,,,,
343,A. Egners et al.,Messing with Android’s permission model.,"Int’l Conf. on Trust, Security and Privacy in Computing and Communications, Liverpool, United Kingdom",,2012,S,166,B,o,,,,,,,,,,,,,
344,Z. Fang et al. ,Permission based Android security: Issues and countermeasures.,"Computers & Security, 43:205–218",,2014,S,166,B,o,,,,,,,,,,,,,
345,A. P. Felt et al.,Permission re-delegation: Attacks and defenses,"USENIX Security Symposium, San Francisco, California",,2011,S,166,B,o,,,,,,,,,,,,,
346,A. P. Fuchs et al.,Scandroid: Automated security certification of android.," University of Maryland, Tech. Rep. CS-TR-4991.",,,S,166,B,o,,,,,,,,,,,,,
347,W. Klieber et al., Android taint flow analysis for app sets," International Workshop on the State of the Art in Java Program Analysis, Edinburgh, United Kingdom",,2014,S,166,B,o,,,,,,,,,,,,,
348,L. Li et al., Iccta: Detecting inter-component privacy leaks in android apps," Int’l Conf. on Software Engineering, Florence, Italy",,2015,S,166,B,o,,,,,,,,,,,,,
349,U. Lindemann and M. Maurer.,Facing multi-domain complexity in product development,"The future of product development. Springer, Berlin, Germany",,2007,S,166,B,o,,,,,,,,,,,,,
350,L. Lu et al,Chex: statically vetting android apps for component hijacking vulnerabilities,"conference on Computer and communications security, New York, NY",,2012,S,166,B,o,,,,,,,,,,,,,
351,F. Maggi et al.,"Andrototal: A flexible, scalable toolbox and service for testing mobile malware detectors","Workshop on Security and Privacy in Smartphones and Mobile Devices, Berlin, Germany",,2013,S,166,B,o,,,,,,,,,,,,,
352,D. Octeau et al.,Effective inter-component communication mapping in android: An essential step towards holistic security analysis,"USENIX Sec. Symp., Washington DC",,2013,S,166,B,o,,,,,,,,,,,,,
353,D. Octeau et al.,Composite constant propagation: Application to android inter-component communication analysis.,"Int’l Conf. on Software Engineering, Florence, Italy",,2015,S,166,B,o,,,,,,,,,,,,,
354,S. Poeplau et al.,Execute this! analyzing unsafe and malicious dynamic code loading in android applications.,"NDSS, San Diego, California",,2014,S,166,B,o,,,,,,,,,,,,,
355,J. H. Saltzer and M. D. Schroeder.,The protection of information in computer systems,"IEEE Computer Society Press, 63(9):1278– 1308",,1975,S,166,B,o,,,,,,,,,,,,,
356,R. Scandariato et al,Automated detection of least privilege violations in software architectures," European Conference on Software Architecture, Copenhagen, Denmark",,2010,S,166,B,o,,,,,,,,,,,,,
357,B. Schmerl et al.,Architecture modeling and analysis of security in android systems,"European Conference on Software Architecture, Copenhagen, Denmark",,2016,S,166,B,o,,,,,,,,,,,,,
358,D. Schreckling et al.,"Kynoid: real-time enforcement of finegrained, user-defined, and data-centric security policies for android."," Information Security TR., 17(3):71–80",,2013,S,166,B,o,,,,,,,,,,,,,
359,W. Shin et al.,A Small But Non-negligible Flaw in the Android Permission Scheme," Int’l Symp. on Policies for Distributed Systems and Networks, Fairfax, VA",,2010,S,166,B,o,,,,,,,,,,,,,
360,S. Smalley and R. Craig.,Security Enhanced (SE) Android: Bringing Flexible MAC to Android,"NDSS, San Diego, California",,2013,S,166,B,o,,,,,,,,,,,,,
361,D. V. Steward,The design structure system: A method for managing the design of complex systems,"IEEE transactions on Engineering Management, (3):71–74",,1981,S,166,B,o,,,,,,,,,,,,,
362,R. N. Taylor et al.,"Software architecture: foundations, theory, and practice.",Wiley Publishing,,2009,S,166,B,o,,,,,,,,,,,,,
363,X. Wang et al.,Deepdroid: Dynamically enforcing enterprise policy on android devices,"NDSS, San Diego, California",,2015,S,166,B,o,,,,,,,,,,,,,
364,F. Wei et al.,Amandroid: A precise and general inter-component data flow analysis framework for security vetting of android apps.,"ACM CCS, Scottsdale, Arizona",,2014,S,166,B,o,,,,,,,,,,,,,
365,Y. Zhou and X. Jiang.,Dissecting android malware: Characterization and evolution.,"IEEE Symposium on Security and Privacy, pages 95–109, San Francisco, California",,2012,S,166,B,o,,,,,,,,,,,,,
366,"A. Armando, A. Merlo, M. Migliardi, and L. Verderame.",Would you mind forking this process? A denial of service attack on Android (and some countermeasures),"Proc. of the 27th IFIP International Information Security and Privacy Conference (SEC 2012), IFIP Advances in Information and Communication Technology, 376, pages 13{24. Springer",,2012,S,167,B,o,,,,,,,,,,,,,
367,"S. Bugiel, L. Davi, A. Dmitrienko, T. Fischer, and A.-R. Sadeghi",Xmandroid: A new android evolution to mitigate privilege escalation attacks.,"Technical Report TR-2011-04, Technische Univ. Darmstadt",,2011,S,167,B,o,,,,,,,,,,,,,
368,"I. Burguera, U. Zurutuza, and S. Nadjm-Therani",Crowdroid: behavior-based malware detection system for android,Proceedings of the 1st ACM workshop on Security and privacy in smartphones and mobile devices (SPSM’11),,2011,S,167,B,o,,,,,,,,,,,,,
369,"E. Chin, A. P. Felt, K. Greenwood, and D. Wagner.",Analyzing inter-application communication in Android,"Proceedings of the 9th international conference on Mobile systems, applications, and services, MobiSys ’11, pages 239{252, New York, NY, USA",,2011,S,167,B,o,,,,,,,,,,,,,
370,"L. Davi, A. Dmitrienko, A.-R. Sadeghi, and M. Winandy.",Privilege escalation attacks on android,"M. Burmester, G. Tsudik, S. Magliveras, and I. Ilic, editors, Information Security, volume 6531 of LNCS, pages 346{360",,2011,S,167,B,o,,,,,,,,,,,,,
371,"W. Enck, D. Octeau, P. McDaniel, and S. Chaudhuri.", A study of android application security,"Proceedings of the 20th USENIX conference on Security, SEC’11, pages 21{21, Berkeley, CA, USA",,2011,S,167,B,o,,,,,,,,,,,,,
372,"A. P. Felt, E. Chin, S. Hanna, D. Song, and D. Wagner.",Android permissions demystified.,"Proceedings of the 18th ACM conference on Computer and communications security, CCS ’11, pages 627{638",,2011,S,167,B,o,,,,,,,,,,,,,
373,"A. P. Fuchs, A. Chaudhuri, and J. S. Foster.",Scandroid: Automated security certification of android applications.,,,,S,167,B,o,,,,,,,,,,,,,
374,"M. Nauman, S. Khan, and X. Zhang.",Apex: extending android permission model and enforcement with user-defined runtime constraints.,"Proceedings of the 5th ACM Symposium on Information, Computer and Communications Security, ASIACCS ’10, pages 328{332, New York, NY, USA",,2010,S,167,B,o,,,,,,,,,,,,,
375,"M. Ongtang, S. Mclaughlin, W. Enck, and P. Mcdaniel.",Semantically rich application-centric security in android,ACSAC ’09: Annual Computer Security Applications Conference,,2009,S,167,B,o,,,,,,,,,,,,,
376,"M Hammad, H Bagheri, S Malek",Determination and enforcement of least-privilege architecture in android,2017 IEEE international conference on software architecture (ICSA),,2017,S,73,F,o,,,,,,,,,,,,,
377,"Bagheri, Hamid and Kang, Eunsuk and Malek, Sam and Jackson, Daniel",A formal approach for detection of security flaws in the android permission system,Formal Aspects of Computing,,2016,S,73,F,o,,,,,,,,,,,,,
378,"Hammad, Mahmoud and Garcia, Joshua and Malek, Sam",Self-protection of Android systems from inter-component communication attacks,Proceedings of the 33rd ACM/IEEE International Conference on Automated Software Engineering,,2018,S,73,F,o,,,,,,,,,,,,,
379,"Hammad, Mahmoud M",Self-Protection of Android Systems from Inter-Component Communication Attacks DISSERTATION,"UNIVERSITY OF CALIFORNIA, IRVINE",,2018,S,73,F,o,,,,,,,,,,,,,
380,"Bagheri, Hamid and Wang, Jianghao and Aerts, Jarod and Malek, Sam","Efficient, Evolutionary Security Analysis of Interacting Android Apps",,,,S,73,F,o,,,,,,,,,,,,,
381,"Sadeghi, Alireza",Efficient Permission-Aware Analysis of Android Apps DISSERTATION,"UNIVERSITY OF CALIFORNIA, IRVINE",,2017,S,73,F,o,,,,,,,,,,,,,
382,"Mitaritonna, Alejandro and Ab{\'a}solo, Mar{\'\i}a Jos{\'e}",Hardware and software considerations for RAIOM Mobile Augmented Reality Framework,,,2013,S,122,F,o,,,,,,,,,,,,,
383,"Setyono, Andik",Compression-based framework for multimedia resource-limited mobile communication,MULTIMEDIA UNIVERSITY MALAYSIA,,2012,S,122,F,o,,,,,,,,,,,,,
384,"Perez, Karina",Bridging the gap between Privacy by Design and mobile systems by patterns,Troyes,,2016,S,146,F,o,,,,,,,,,,,,,
385,江坂篤侍 and others,自己適応を目的としたソフトウェアアーキテクチャの構築と運用に関する研究,,,,S,146,F,o,,,,,,,,,,,,,
386,江坂篤侍 and 野呂昌満 and 沢田篤史 and others,インタラクティブソフトウェアの共通アーキテクチャの提案,ソフトウェアエンジニアリングシンポジウム 2015 論文集,,2015,S,146,F,o,,,,,,,,,,,,,
387,"D{\""u}rschmid, Tobias and S{\""o}chting, Maximilian and Semmo, Amir and Trapp, Matthias and D{\""o}llner, J{\""u}rgen",Prosumerfx: Mobile design of image stylization components,SIGGRAPH Asia 2017 Mobile Graphics \& Interactive Applications,,2017,S,149,F,o,,,,,,,,,,,,,
388,"Trapp, Matthias and Pasewaldt, Sebastian and D{\""u}rschmid, Tobias and Semmo, Amir and D{\""o}llner, J{\""u}rgen",Teaching Image-Processing Programming for Mobile Devices: A Software Development Perspective,"Innovative Research and Development (ICIRD), 2018 IEEE International Conference on",,2018,S,149,F,o,,,,,,,,,,,,,
389,"Luhana, Kirshan Kumar",Pocket code build variants,,,,S,149,F,o,,,,,,,,,,,,,
390,"Sadeghi, Alireza; Bagheri, Hamid; Garcia, Joshua; Malek, Sam",A taxonomy and qualitative comparison of program analysis techniques for security assessment of android software,IEEE Transactions on Software Engineering,journalArticle,2017,S,161,F,o,,,,,,,,,,,,,
391,"Aafer, Yousra; Zhang, Xiao; Du, Wenliang",Harvesting Inconsistent Security Configurations in Custom Android ROMs via Differential Analysis.,USENIX Security Symposium,conferencePaper,2016,S,161,F,o,,,,,,,,,,,,,
392,"Ali, Mohamed; Joorabchi, Mona Erfani; Mesbah, Ali","Same app, different app stores: A comparative study",Proceedings of the 4th International Conference on Mobile Software Engineering and Systems,conferencePaper,2017,S,161,F,o,,,,,,,,,,,,,
393,"Aafer, Yousra",Systematic Discovery of Android Customization Hazards,,journalArticle,2016,S,161,F,o,,,,,,,,,,,,,
394,"Gadient, Pascal; Nierstrasz, Oscar; Ghafari, Mohammad",Security in Android applications,,thesis,2017,S,161,F,o,,,,,,,,,,,,,
395,"Sadeghi, Alireza",Efficient Permission-Aware Analysis of Android Apps DISSERTATION,,thesis,2017,S,161,F,o,,,,,,,,,,,,,
396,"Ratazzi, Edward Paul",Understanding and Improving Security of the Android Operating System,,journalArticle,2016,S,161,F,o,,,,,,,,,,,,,
397,"Zhang, Xiao",Uncovering and mitigating unsafe program integrations in Android,,journalArticle,2016,S,161,F,o,,,,,,,,,,,,,
398,"Spring, Timo; Nierstrasz, Oscar; Corrodi, Claudio",Benchmarking Android Data Leak Detection Tools,,journalArticle,2018,S,161,F,o,,,,,,,,,,,,,
399,"Aafer, Yousra; Huang, Jianjun; Sun, Yi; Zhang, Xiangyu; Li, Ninghui; Tian, Chen",AceDroid: Normalizing Diverse Android Access Control Checks for Inconsistency Detection,,journalArticle,,S,161,F,o,,,,,,,,,,,,,
400,"Bagheri, Hamid; Kang, Eunsuk; Malek, Sam; Jackson, Daniel",A formal approach for detection of security flaws in the android permission system,Formal Aspects of Computing,journalArticle,2016,S,166,F,o,,,,,,,,,,,,,
401,"Hammad, Mahmoud; Garcia, Joshua; Malek, Sam",Self-protection of Android systems from inter-component communication attacks,Proceedings of the 33rd ACM/IEEE International Conference on Automated Software Engineering,conferencePaper,2018,S,166,F,o,,,,,,,,,,,,,
402,"Hammad, Mahmoud M",Self-Protection of Android Systems from Inter-Component Communication Attacks DISSERTATION,,thesis,2018,S,166,F,o,,,,,,,,,,,,,
403,"Bagheri, Hamid; Wang, Jianghao; Aerts, Jarod; Malek, Sam","Efficient, Evolutionary Security Analysis of Interacting Android Apps",,journalArticle,,S,166,F,o,,,,,,,,,,,,,
404,"Sadeghi, Alireza",Efficient Permission-Aware Analysis of Android Apps DISSERTATION,,thesis,2017,S,166,F,o,,,,,,,,,,,,,
405,"Song, Jun; Gao, Kun; Shen, Xinyang; Qi, Xiaotian; Liu, Rui; Choo, Kim-Kwang Raymond",QRFence: A flexible and scalable QR link security detection framework for Android devices,Future Generation Computer Systems,journalArticle,2018,S,166,F,o,,,,,,,,,,,,,
406,"Momen, Nurul",Towards Measuring Apps' Privacy-Friendliness,,thesis,2018,S,166,F,o,,,,,,,,,,,,,
407,"Hammad, Mahmoud; Bagheri, Hamid; Malek, Sam",Institute for Software Research,,journalArticle,2018,S,166,F,o,,,,,,,,,,,,,
408,"Sadeghi, Alireza; Jabbarvand, Reyhaneh; Ghorbani, Negar; Bagheri, Hamid; Malek, Sam",A temporal permission analysis and enforcement framework for Android,Proceedings of the 40th International Conference on Software Engineering,conferencePaper,2018,S,166,F,o,,,,,,,,,,,,,
409,"Masud, Mohd Zaki; Sahib, Shahrin; Abdollah, Mohd Faizal; Selamat, Siti Rahayu; Yusof, Robiah",Android malware detection system classification,Research Journal of Information Technology,journalArticle,2014,S,167,F,o,,,,,,,,,,,,,
410,"Ferrante, Alberto; Medvet, Eric; Mercaldo, Francesco; Milosevic, Jelena; Visaggio, Corrado Aaron",Spotting the malicious moment: Characterizing malware behavior using dynamic features,"Availability, Reliability and Security (ARES), 2016 11th International Conference on",conferencePaper,2016,S,167,F,o,,,,,,,,,,,,,
411,"Shabtai, Asaf; Mimran, Dudu; Elovici, Yuval",Evaluation of Security Solutions for Android Systems,arXiv preprint arXiv:1502.04870,journalArticle,2015,S,167,F,o,,,,,,,,,,,,,
412,"Iqbal, Saeed; Shah, Shakir Ullah; Nauman, Mohammad; Amin, Muhammad",Extending Java Pathfinder (JPF) with property classes for verification of Android permission extension framework,"System Engineering and Technology (ICSET), 2013 IEEE 3rd International Conference on",conferencePaper,2013,S,167,F,o,,,,,,,,,,,,,
413,"Ghani, Saidah Mastura A; Abdollah, Mohd Faizal; Yusof, Robiah; Mas’ud, Mohd Zaki",Recognizing API Features for Malware Detection Using Static Analysis,Journal of Wireless Networking and Communications,journalArticle,2015,S,167,F,o,,,,,,,,,,,,,
414,"Iqbal, Saeed; Choudhry, Imran Arshad; Shabbir, Kamran",Verification of Android Permission Extension Framework using SPF and JPF,International Journal of Computer Science and Information Security,journalArticle,2016,S,167,F,o,,,,,,,,,,,,,
415,"Cedillo Durán, Sandra Priscila",Metodología para la evaluación de la seguridad en dispositivos de cómputo,,thesis,2013,S,49,F,o,,,,,,,,,,,,,
416,"Joon-Myung Kang and Sin-seok Seo, James Won-Ki Hong,",Usage Pattern Analysis of Smartphones,", Department of Computer Science and Engineering ,Pohang University of Science and Technology,Pohang, Republic of Korea.",,,S,49,B,o,,,,,,,,,,,,,
417,"Milindkumar H. Tandel, Vijay S. Venkitachalam",Cloud Computing in Smartphone: Is offloading a better-bet? ,", Department of Electrical Engineering and Computer Science. Wichita, Kansas",,,S,49,B,o,,,,,,,,,,,,,
418,"Swati Tiwari, Praveen Sen","Department Of Embedded System and Computing,",Rashtrasant Tukdoji Maharaj Nagpur University,,2014,S,49,B,o,,,,,,,,,,,,,
419,"Koshy, K.I.; Juby, A.M.; Namboodiri, V.; Overcash, M.","; ""Can cloud computing lead to increased sustainability of mobile device?,",""" Sustainable Systems and Technology (ISSST), 2012 IEEE International Symposium on , vol., no., pp.1-4, 16-18",,2012,S,49,B,o,,,,,,,,,,,,,
420,"Daniel Schien,DR.Chris Preist,Dr.Mike Yearworth and Paul Shabajee",Impact of Location on the Energy Footprint of Digital Media,"ISSST – 2012 Conference, Boston, Massachusetts, USA.",,2012,S,49,B,o,,,,,,,,,,,,,
421,"Chow, R., Golle, P., Jakobsson, M., Masuoka, R., Molina, J., Shi, E. & Staddon, J.", Controlling Data in the Cloud: Outsourcing Computation without Outsourcing Control," CCSW’09, November 13, 2009, Chicago, Illinois, USA.",,2009,S,49,B,o,,,,,,,,,,,,,
422,,Android Monkey Recorder,,,,S,210,B,o,,,,,,,,,,,,,
423,,How expensive ndViewById ??,,,,S,210,B,o,,,,,,,,,,,,,
424,T. Xie J. Xu,Mining API patterns as partial orders from source code: From usage scenarios to speci cations,In ESEC/FSE'07,,2007,S,210,B,o,,,,,,,,,,,,,
425,,How to define battery life,,,,S,210,B,o,,,,,,,,,,,,,
426,,Batteries in a Portable World. Cadex Electronics Inc,,,2011,S,210,B,o,,,,,,,,,,,,,
427,G. Heiser.,An analysis of power consumption in a smartphone,In USENIX ATC'10,,2010,S,210,B,o,,,,,,,,,,,,,
428,Ch-Y.Lin  C,Energy pro ling for android java virtual machine and applications,In ICPADS'11,,2011,S,210,B,o,,,,,,,,,,,,,
429,,Practical Nonparametric Statistics,". Wiley, 3rd edition edition",,1998,S,210,B,o,,,,,,,,,,,,,
430,D. M. German M. W. Godfrey A. Hindle,Software bertillonage determining the provenance of software development artifacts,Empirical Software Engineering,,2012,S,210,B,o,,,,,,,,,,,,,
431,D. M. German M. W. Godfrey A. J. Hindle,Software bertillonage: Finding the provenance of an entity,In MSR'11,,2011,S,210,B,o,,,,,,,,,,,,,
432,M. Satyanarayanan,Powerscope: A tool for pro ling the energy usage of mobile applications,In WMCSA'99,,1999,S,210,B,o,,,,,,,,,,,,,
433,A. L. Strauss,The Discovery of Grounded Theory: Strategies for Qualitative Research,,,1967,S,210,B,o,,,,,,,,,,,,,
434,,Android performance tips,,,,S,210,B,o,,,,,,,,,,,,,
435,,Android storage options,,,,S,210,B,o,,,,,,,,,,,,,
436,,Determining and monitoring the connectivity status,,,,S,210,B,o,,,,,,,,,,,,,
437,,Power pro les for android,,,,S,210,B,o,,,,,,,,,,,,,
438,,Profiling with traceview and dmtracedump,,,,S,210,B,o,,,,,,,,,,,,,
439,,Nexus 4 speci cations,,,2013,S,210,B,o,,,,,,,,,,,,,
440,D. Li W. G. J. Halfond R. Govindan,Estimating Android applications' CPU energy usage via Bytecode pro ling,In GREENS'12,,2012,S,210,B,o,,,,,,,,,,,,,
441,D. Li W. G. J. Halfond R. Govindan,Estimating mobile application energy consumption using program analysis,In ICSE'13,,2013,S,210,B,o,,,,,,,,,,,,,
442,,Green mining: A methodology of relating software change to power consumption,In MSR'12,,2012,S,210,B,o,,,,,,,,,,,,,
443,A. Pathak Y. C. Hu S. Midki,Hypnos: Understanding and treating sleep con icts in smartphones,In EuroSys'13,,2013,S,210,B,o,,,,,,,,,,,,,
444,S. Panagiotakis,Effcient energy consumption's measurement on Android devices,In PCI'12,,2012,S,210,B,o,,,,,,,,,,,,,
445,M. P. Robillard,Detecting ine cient api usage,In ICSE'09,,2009,S,210,B,o,,,,,,,,,,,,,
446,S. Hao W. G. J. Halfond R. Govindan M. Di Penta D. Poshyvanyk,Calculating source line level energy information for android applications,In ISSTA'13,,2013,S,210,B,o,,,,,,,,,,,,,
447,G. Bavota C. Bernal-Cardenas R. Oliveto,Online appendix of: Mining energy-greedy API usage patterns in Android apps: an empirical study. www.cs.wm.edu/semeru/data/MSR14-android-energy.,,,,S,210,B,o,,,,,,,,,,,,,
448,C. Xu S. C. Cheung,Where has my battery gone? nding sensor related energy black holes in smartphone applications,In PerCom'13,,2013,S,210,B,o,,,,,,,,,,,,,
449,M. Nagappan B. Adams A. Hassan,Understanding reuse in the Android market,In ICPC'12,,2012,S,210,B,o,,,,,,,,,,,,,
450,,Power monitor,,,,S,210,B,o,,,,,,,,,,,,,
451,W. Gary A. T. Nguyen K. Miryung T. N. Nguyen,A graph-based approach to API usage adaptation,In OOPSLA'10,,2010,S,210,B,o,,,,,,,,,,,,,
452,H. Sajnani C. V. Lopes,"File cloning in open source java projects: The good, the bad, and the ugly",In ICSM'11,,2011,S,210,B,o,,,,,,,,,,,,,
453,Y. Hu M. Zhang,Bootstrapping energy debugging on smartphones: A rst look at energy bugs in mobile devices,,,2011,S,210,B,o,,,,,,,,,,,,,
454,Y. Hu M. Zhang,Where is the energy spent inside my app? ne grained energy accounting on smartphones with eprof,In EuroSys'12,,2012,S,210,B,o,,,,,,,,,,,,,
455,Y. Hu M. Zhang Y. M. Wang,Fine-grained power modeling for smartphones using system call tracing,In Sixth Conference on Computer Systems (EuroSys'11),,2011,S,210,B,o,,,,,,,,,,,,,
456,A. Jindal Y. Hu S. P. Midki,What is keeping my phone awake? characterizing and detecting no-sleep energy bugs in smartphone apps,In MobiSys'12,,2012,S,210,B,o,,,,,,,,,,,,,
457,,A Language and Environment for Statistical Computing,,,2012,S,210,B,o,,,,,,,,,,,,,
458,,Stackover ow. How often to call notifydatasetchanged() when changing arrayadapter,,,,S,210,B,o,,,,,,,,,,,,,
459,,Stackover ow. Improving speed of getpixel() and setpixel() on Android bitmap,,,,S,210,B,o,,,,,,,,,,,,,
460,,Stackover ow. Webview threads never stop,,,,S,210,B,o,,,,,,,,,,,,,
461,G. Aggarwal A. Nicoara D. Boneh J. P. Singh,Who killed my battery: Analyzing mobile browser energy consumption,In WWW'12,,2012,S,210,B,o,,,,,,,,,,,,,
462,B. Dagenais M. P. Robillard,Analyzing temporal API usage patterns. short paper,In ASE'11,,2011,S,210,B,o,,,,,,,,,,,,,
463,R. Jhala S. Lerner Y. Agarwal,Towards verifying Android apps for the absence of no-sleep energy bugs,In HotPower'12,,2012,S,210,B,o,,,,,,,,,,,,,
464,Y. Liu Q. Li Y. Zhang,Fast self-constructive power modeling of smartphones based on battery voltage dynamics,In NSDI'13,,2013,S,210,B,o,,,,,,,,,,,,,
465,A. Musa W. Le,A comparison of energy bugs for smartphone platforms,In MOBS'13,,2013,S,210,B,o,,,,,,,,,,,,,
466,M. S. Gordon R. P. Dick Z. Morley P. Dinda L. Yang,Adel: An automatic detector of energy leaks for smartphone applications,In CODES+ISSS'12,,2012,S,210,B,o,,,,,,,,,,,,,
467,B. Tiwana Z. Qian Z. Wang R. P. Dick Z. Morley L. Yang,Accurate online power estimation and automatic battery behavior based power model generation for smartphones,In CODES+ISSS'10,,2010,S,210,B,o,,,,,,,,,,,,,
468,T. Xie L. Zhang H. Mei,Mining and recommending api usage patterns,In ECOOP 2009,,2009,S,210,B,o,,,,,,,,,,,,,
469,"Chambers C. , Notkin D. ,",Archjava: connecting software architecture to implementation,,,2002,S,218,B,o,,,,,,,,,,,,,
470,"Solis C. ,",Mobile architectures at runtime: research challenges,In: Proceedings of MOOBILESoft.,,2014,S,218,B,o,,,,,,,,,,,,,
471,"Balsamo S. , Inverardi P. ,",Performance analysis at the software architectural design level,Perform. Eval,,2001,S,218,B,o,,,,,,,,,,,,,
472,"Bass L. , Klein M. ,",Deriving architectural tactics: a step toward methodical architectural design,Technical Report.,,2003,S,218,B,o,,,,,,,,,,,,,
473,"Sadeghi A. , Garcia J. ,  Malek S. ,",Covert: compositional analysis of android inter-app permission leakage,IEEE Trans. Software Eng,,2015,S,218,B,o,,,,,,,,,,,,,
474,"Sadeghi A. , Jabbarvand R. ,  Malek S. ,",formal synthesis and automatic enforcement of security policies for android,In: Proceedings of the 46th IEEE/IFIP International Conference on Dependable Systems and Networks (DSN).,,2016,S,218,B,o,,,,,,,,,,,,,
475,"Sullivan K. ,",Pol: specification-driven synthesis of architectural code frameworks for platform-based applications,In: Proceedings of the 11th ACM SIGPLAN International Conference on Generative Programming and Component Engineering (GPCE'12),,2012,S,218,B,o,,,,,,,,,,,,,
476,"Clements P. , Kazman R. ,",Software Architectures in Practice,,,2003,S,218,B,o,,,,,,,,,,,,,
477,,From software product lines to software ecosystems,In: International Software Product Line Conference,,2009,S,218,B,o,,,,,,,,,,,,,
478,"McCormick H.W. , Mowbray T.J. , W.J Malveau R.C. ,","AntiPatterns: Refactoring Software, Architectures, and Projects in Crisis",,,1998,S,218,B,o,,,,,,,,,,,,,
479,"Felt A.P. , Greenwood K. ,  Wagner D. ,",Analyzing inter-application communication in android,In: International Conference on Mobile Systems,,2011,S,218,B,o,,,,,,,,,,,,,
480,"Hoek A.V.d. , Taylor    R.N.","A highly-extensible, xml-based architecture description language",In: Proceedings of the Working IEEE/IFIP Conference on Software Architecture. IEEE Comput. Society,,2001,S,218,B,o,,,,,,,,,,,,,
481,"Pollet D. ,",Software architecture reconstruction: a process-oriented taxonomy,IEEE Trans. Softw. Eng,,2009,S,218,B,o,,,,,,,,,,,,,
482,"Jones C. , MC",Architecture for embedded open software ecosystems,Comput,,2009,S,218,B,o,,,,,,,,,,,,,
483,"Malek S. , Medvidovic N. ,",Scenario-driven dynamic analysis of distributed architectures,In: Proceedings of the 10th International Conference on Fundamental Approaches to Software Engineering,,2007,S,218,B,o,,,,,,,,,,,,,
484,"Bosch J. ,",Architecture for embedded open software ecosystems,J. Syst. Softw,,2014,S,218,B,o,,,,,,,,,,,,,
485,"Octeau D. , McDaniel P. ,  Chaudhuri S. ,",A study of android application security,In: Proceedings of the 20th USENIX Conference on Security. USENIX Association,,2011,S,218,B,o,,,,,,,,,,,,,
486,Hall Design. Prentice,"Service-Oriented Architecture: Concepts, Technology, and",,,2006,S,218,B,o,,,,,,,,,,,,,
487,"Lewis B.A. , Vestal S. ,",The SAE architecture analysis & design language (AADL) a standard for engineering performance critical systems,,,2006,S,218,B,o,,,,,,,,,,,,,
488,"Hanna S. , Chin E. ,  Wang H.J. , Moshchuk   E. ,",Permission re-delegation: attacks and defenses,In 20th Usenix Security Symposium,,2011,S,218,B,o,,,,,,,,,,,,,
489,"Antoniol G. , Tonella P. ,  Merlo E. ,",Art: an architectural reverse engineering environment,J. Softw. Maintenance,,1999,S,218,B,o,,,,,,,,,,,,,
490,"Tonella P. , Anteniol G. ,  Merlo E. ,",A cliche-based environment to support architectural reverse engineering,In: Proceedings of the third Working Conference on Reverse Engineering (WCRE),,2002,S,218,B,o,,,,,,,,,,,,,
491,"Helm R. , Vlissides J. , Johnson, R.",Elements of Reusable Object-Oriented Software,,,1994,S,218,B,o,,,,,,,,,,,,,
492,"Ivkovic I. , Medvidovic N. ,",A comparative analysis of software architecture recovery techniques,In: International Conference on Automated Software Engineering,,2013,S,218,B,o,,,,,,,,,,,,,
493,"Popescu D. , Safi G. ,  Halfond W. , Nenad   M. ,",Identifying architectural bad smells,In: European Conference on Software Maintenance and Reengineering,,2009,S,218,B,o,,,,,,,,,,,,,
494,"Monroe   Wile D. , R.T.",Acme: architectural description of component-based systems,Foundations of Component-Based Systems.,,2000,S,218,B,o,,,,,,,,,,,,,
495,"Atlee J. , Kazman R. ,",A software architecture reconstruction method,In: Proceedings of the third Working International Conference on Software Architecture (WICSA).,,1999,S,218,B,o,,,,,,,,,,,,,
496,"Li D. , Halfond W.G. ,  Govindan R. ,",Estimating mobile application energy consumption using program analysis,In: The International Conference on Software Engineering.,,2013,S,218,B,o,,,,,,,,,,,,,
497,"Mesbah A. ,",Reverse engineering ios mobile applications,In: Proceedings of the third Working Conference on Reverse Engineering (WCRE).,,2012,S,218,B,o,,,,,,,,,,,,,
498,H. K.,Architecture for adaptive mobile applications,Int. J. Bio-Sci. BioTechnol,,2013,S,218,B,o,,,,,,,,,,,,,
499,,Architecture reconstruction,In: Software Engineering,,2009,S,218,B,o,,,,,,,,,,,,,
500,"Pope S.T. ,    et al.",A description of the model-view-controller user interface paradigm in the smalltalk-80 system,J. Object Oriented Program,,1988,S,218,B,o,,,,,,,,,,,,,
501,,The 4+1 view model of architecture,IEEE Softw,,1995,S,218,B,o,,,,,,,,,,,,,
502,"Martinelli M. , Sgandurra F. ,  D.",A survey on security for mobile devices,"Commun. Surv. Tut., IEEE",,2013,S,218,B,o,,,,,,,,,,,,,
503,"Vera J. ,",An event-based architecture definition language,IEEE Trans. Softw. Eng,,1995,S,218,B,o,,,,,,,,,,,,,
